#,Team,GP,% Time,Poss / Game,Points,PPP,FGm,FGM,FGA,FG%,aFG%,%TO,%FT,%SF,%Score
195,McMurry,28,5.3%,4.7,2.7,0.58,2,1.1,3.1,34.9%,35.5%,23.7%,11.5%,8.4%,29.8%
196,Maine Maritime Academy Mariners,8,5.3%,4.5,4.4,0.972,1.4,1.3,2.6,47.6%,50%,16.7%,30.6%,22.2%,47.2%
197,Staten Island Dolphins,28,5.3%,4.7,3.6,0.765,2,1.3,3.3,40.2%,40.8%,17.4%,13.6%,7.6%,40.2%
198,Puget Sound Loggers,26,5.3%,5.7,4.3,0.762,2.8,1.7,4.4,37.4%,40.9%,14.3%,9.5%,6.8%,35.4%
199,Albright Lions,26,5.2%,4.7,4.3,0.919,1.8,1.3,3.2,42.2%,47.6%,17.1%,17.9%,12.2%,42.3%
200,Connecticut College Camels,23,5.2%,4.3,3.6,0.83,1.8,1.3,3.1,40.8%,42.3%,15%,16%,8%,41%
201,Wisconsin Lutheran Warriors,25,5.2%,4.6,4,0.862,2,1.4,3.4,40.7%,43.6%,13.8%,12.1%,7.8%,42.2%
202,Lesley Lynx,5,5.2%,3.8,2.6,0.684,2.4,1.2,3.6,33.3%,33.3%,0%,5.3%,5.3%,36.8%
203,Washington (MD)  Shoremen,26,5.2%,4.3,2.8,0.637,1.8,0.7,2.5,28.1%,28.9%,22.1%,24.8%,16.8%,32.7%
204,SUNY Cobleskill Fighting Tigers,11,5.2%,4.5,2.3,0.51,2.1,0.8,2.9,28.1%,28.1%,24.5%,10.2%,4.1%,26.5%
205,Beloit Buccaneers,19,5.2%,4.4,3.5,0.807,1.7,1.3,3.1,43.1%,49.1%,22.9%,8.4%,4.8%,36.1%
206,Wabash College Little Giants,26,5.2%,4.2,3.2,0.759,2,1,3,33.3%,35.3%,13.9%,15.7%,10.2%,37%
207,Southern Virginia Knights,25,5.2%,4.4,3.4,0.782,1.9,1.4,3.2,42%,42.6%,15.5%,11.8%,6.4%,40%
208,Whittier College Poets,23,5.2%,4.7,4.7,0.982,1.8,1.7,3.5,48.8%,53.8%,12.8%,14.7%,13.8%,46.8%
209,Hiram Terriers,26,5.1%,4.1,3.2,0.783,1.8,1,2.9,36%,37.3%,17%,16%,15.1%,37.7%
210,Emory & Henry Wasps,29,5.1%,4.3,3.7,0.848,1.9,1.3,3.1,40.7%,42.9%,13.6%,16%,11.2%,42.4%
211,Ithaca College,25,5.1%,4.4,4.2,0.946,1.7,1.8,3.6,51.7%,52.8%,14.4%,7.2%,5.4%,46.8%
212,Northwestern (MN),27,5.1%,4,3.3,0.832,1.6,1.3,2.8,44.7%,45.4%,18.7%,14%,12.1%,41.1%
213,Salisbury Sea Gulls,27,5.1%,4.3,3.5,0.81,2,1.3,3.3,39.3%,41%,12.1%,14.7%,11.2%,39.7%
214,Whitworth Pirates,29,5.1%,4.3,3.8,0.881,1.8,1.3,3.1,42.9%,45.6%,15.1%,19%,17.5%,43.7%
215,Bethel University (MN) Royals,28,5.1%,3.9,3,0.755,1.8,1.1,2.9,38.8%,39.4%,15.5%,12.7%,10%,39.1%
216,Southwestern University (TX) Pirates,27,5.1%,4.6,2.6,0.569,2,1,3,32.1%,32.7%,23.6%,12.2%,8.1%,29.3%
217,Tufts Jumbos,24,5%,4.5,3.6,0.806,1.8,1.3,3,41.7%,45.8%,19.4%,16.7%,14.8%,40.7%
218,Saint John's (MN) Johnnies,27,5%,3.9,2.9,0.74,2,1,3.1,33.7%,36.7%,12.5%,9.6%,5.8%,34.6%
219,Saint Vincent Bearcats,26,5%,4,3.3,0.817,1.5,1.2,2.7,43.7%,45.1%,17.3%,15.4%,11.5%,43.3%
220,Claremont-Mudd-Scripps Stags,25,5%,3.8,3.4,0.885,1.8,1.1,2.8,38%,43.7%,13.5%,14.6%,10.4%,40.6%
221,Southern Maine,13,5%,4.2,4.3,1.037,1.5,1.6,3.2,51.2%,54.9%,13%,16.7%,13%,50%
222,Baldwin Wallace,27,5%,4,3.3,0.832,1.8,1.1,3,38.8%,42.5%,12.1%,15%,13.1%,41.1%
223,Northland College Lumberjacks,27,4.9%,3.9,2.1,0.538,2.1,0.8,2.9,27.8%,29.1%,18.9%,7.5%,7.5%,26.4%
224,Marian University (WI) Sabres,25,4.9%,4.2,3.2,0.762,1.9,1.2,3.1,37.7%,39%,13.3%,15.2%,14.3%,40%
225,Sarah Lawrence College Gryphons,22,4.9%,4.1,2.7,0.667,1.5,1,2.5,40.7%,43.5%,24.4%,15.6%,12.2%,36.7%
226,Ohio Wesleyan,28,4.9%,4,4.5,1.116,1.6,1.7,3.3,51.1%,60.9%,13.4%,8%,7.1%,46.4%
227,Millsaps Majors,28,4.9%,4.1,3.4,0.819,1.4,1.1,2.5,43.7%,46.5%,22.4%,18.1%,15.5%,40.5%
228,Clark MA Cougars,23,4.9%,4.2,2.9,0.688,1.5,1,2.5,39.7%,40.5%,26%,16.7%,15.6%,36.5%
229,Keuka,11,4.9%,3.9,2.2,0.558,1.9,0.7,2.6,27.6%,27.6%,16.3%,16.3%,11.6%,32.6%
230,Sage Colleges,20,4.9%,4.4,2.4,0.534,2.2,0.8,3,27.1%,29.7%,20.5%,13.6%,11.4%,27.3%
231,Western New Eng.,26,4.9%,4.2,4,0.963,1.7,1.6,3.2,48.8%,50%,13%,13.9%,10.2%,46.3%
232,Wisconsin-(Oshkosh) Titans,33,4.9%,3.8,3.1,0.81,1.8,1.1,2.8,37.6%,41.4%,14.3%,12.7%,7.1%,38.1%
233,Lehman,23,4.9%,4.3,3.4,0.798,2,1.3,3.3,38.7%,42.7%,14.1%,11.1%,8.1%,37.4%
234,Methodist Monarchs,28,4.9%,4.3,3.4,0.793,1.9,1.3,3.2,39.3%,42.7%,16.5%,11.6%,10.7%,37.2%
235,Waynesburg,26,4.9%,4.2,3.4,0.807,2.1,1.2,3.3,37.2%,40.1%,11%,11.9%,10.1%,39.4%
236,US Merchant Marine Academy,8,4.9%,4,2.9,0.719,2,1.1,3.1,36%,40%,15.6%,9.4%,9.4%,34.4%
237,Wisconsin-(Eau Claire) Blugold,25,4.9%,3.4,2.8,0.802,1.6,1,2.6,36.9%,39.2%,11.6%,15.1%,14%,40.7%
238,Maryville (TN) Scots,29,4.8%,4.2,3.6,0.86,1.9,1.1,3,37.5%,44.9%,13.2%,14.9%,9.1%,40.5%
239,MIT Engineers,32,4.8%,3.7,3.3,0.881,1.5,1.2,2.7,44.7%,44.7%,16.1%,18.6%,15.3%,42.4%
240,Calvin Knights,26,4.8%,4.1,2.9,0.71,2,1,3.1,33.8%,35%,15%,15%,12.1%,33.6%
241,Union (NY) Dutchmen,27,4.8%,4.1,3.6,0.865,1.9,1.2,3.1,39.3%,44.6%,13.5%,13.5%,9%,40.5%
242,Ohio Northern Polar Bears,29,4.8%,4.1,3.3,0.822,1.6,1.2,2.8,42%,47.5%,16.1%,16.1%,11%,39.8%
243,Birmingham Southern College Panthers,27,4.8%,4.2,2.8,0.664,1.9,1,2.8,34.2%,34.9%,15.9%,19.5%,15.9%,37.2%
244,Brandeis Judges,25,4.8%,3.9,3.1,0.804,1.5,1.2,2.6,43.9%,45.5%,14.4%,19.6%,14.4%,42.3%
245,Blackburn Beavers,28,4.7%,4.4,3.4,0.77,1.6,1.3,2.9,43.2%,46.9%,21.3%,14.8%,8.2%,37.7%
246,Wisconsin-(River Falls) Falcons,27,4.7%,3.7,2.4,0.657,1.7,0.8,2.6,31.9%,34.8%,19.2%,15.2%,14.1%,31.3%
247,Mount Ida College Mustangs,14,4.7%,4.4,3.2,0.738,2.1,0.9,3.1,30.2%,32.6%,14.8%,16.4%,14.8%,34.4%
248,Oglethorpe Stormy Petrels,27,4.7%,3.8,2.7,0.699,1.7,1,2.7,37%,41.8%,21.4%,9.7%,8.7%,33%
249,Rockford Regents,27,4.7%,4.1,2.6,0.622,2.2,0.9,3.1,29.4%,31.8%,16.2%,9.9%,8.1%,28.8%
250,Worcester State Lancers,9,4.6%,4.1,2.4,0.595,2,0.9,2.9,30.8%,32.7%,21.6%,8.1%,5.4%,29.7%
251,Trine University Thunder,25,4.6%,3.8,3.5,0.926,1.5,1.3,2.8,46.4%,49.3%,14.7%,15.8%,12.6%,46.3%
252,Dickinson (PA) Red Devils,26,4.6%,3.5,2.3,0.67,1.5,0.7,2.3,32.2%,32.2%,22%,19.8%,16.5%,34.1%
253,Virginia Wesleyan Marlins,25,4.6%,3.9,2.9,0.753,1.7,1,2.7,36.8%,41.2%,19.6%,16.5%,14.4%,34%
254,Rhode Island College Anchormen,20,4.6%,3.8,2.1,0.553,1.5,0.8,2.3,34.8%,37%,27.6%,13.2%,10.5%,28.9%
255,Ferrum Panthers,26,4.6%,3.6,3.7,1.022,1.2,1.3,2.4,52.4%,54%,15.1%,21.5%,20.4%,51.6%
256,Pomona-Pitzer Saghens,21,4.5%,3.6,1.8,0.493,1.6,0.6,2.2,27.7%,27.7%,28%,10.7%,8%,26.7%
257,College of New Jersey Lions,27,4.5%,3.7,3.2,0.87,1.4,1.1,2.6,43.5%,46.4%,17%,17%,11%,42%
258,Gwynedd Mercy University Griffins,26,4.5%,3.7,3.2,0.875,1.5,1.2,2.7,45.1%,48.6%,16.7%,11.5%,10.4%,41.7%
259,Bates College Bobcats,22,4.5%,3.7,2.8,0.744,1.8,1,2.8,35.5%,37.9%,14.6%,9.8%,7.3%,36.6%
260,Yeshiva Maccabees,11,4.5%,3.7,2.7,0.732,1.5,1.1,2.5,42.9%,48.2%,26.8%,9.8%,9.8%,31.7%
261,D'Youville,23,4.4%,4.1,3.5,0.842,1.3,1.4,2.7,50.8%,50.8%,23.2%,13.7%,9.5%,43.2%
262,Colorado Tigers,26,4.4%,3.5,2.5,0.711,1.6,0.9,2.5,35.9%,36.7%,15.6%,14.4%,11.1%,37.8%
263,Rose-Hulman,27,4.4%,3.4,3.1,0.923,1.3,1.2,2.6,47.8%,50%,15.4%,12.1%,9.9%,44%
264,Saint Elizabeth Eagles,12,4.4%,4,2.8,0.688,1.8,1.1,2.9,37.1%,38.6%,16.7%,10.4%,8.3%,35.4%
265,John Jay Bloodhounds,25,4.4%,3.8,2.4,0.628,1.9,0.9,2.8,32.4%,33.1%,14.9%,9.6%,6.4%,33%
266,Manchester Spartans,25,4.4%,3.6,2.8,0.775,1.7,1,2.7,38.2%,38.2%,9%,14.6%,9%,40.4%
267,Nichols,29,4.3%,3.8,3.5,0.919,1.7,1.2,2.8,41.5%,46.3%,12.6%,15.3%,11.7%,43.2%
268,Rochester Institute of Technology Tigers,27,4.3%,3.7,2.7,0.72,1.6,0.9,2.5,35.8%,39.6%,18%,15%,11%,35%
269,John Carroll University Blue Streaks,31,4.3%,4.3,3.8,0.888,1.7,1.5,3.1,46.4%,51%,19.4%,9.7%,8.2%,41%
270,Thomas (ME) Terriers,4,4.3%,3.8,2.5,0.667,1.3,1.3,2.5,50%,50%,33.3%,0%,0%,33.3%
271,Drew Rangers,26,4.3%,3.7,3,0.823,1.4,1,2.3,41%,42.6%,16.7%,19.8%,15.6%,44.8%
272,Curry,24,4.3%,3.8,2,0.538,1.8,0.7,2.5,27.1%,32.2%,25.3%,9.9%,7.7%,25.3%
273,Dean College Bulldogs,8,4.3%,3.8,2.6,0.7,2,1.1,3.1,36%,38%,13.3%,3.3%,0%,33.3%
274,Wisconsin-(Stout) Blue Devils,25,4.3%,3.2,2.6,0.825,1.5,1,2.5,38.7%,39.5%,12.5%,13.8%,12.5%,40%
275,Albion Britons,25,4.3%,3.6,2.1,0.596,1.7,0.8,2.6,32.8%,34.4%,20.2%,10.1%,4.5%,29.2%
276,Spalding Golden Eagles,17,4.3%,3.3,2.9,0.875,1.4,1.3,2.6,48.9%,50%,16.1%,5.4%,5.4%,42.9%
277,Randolph-Macon Yellow Jackets,26,4.3%,3.3,2.2,0.682,1.7,1,2.7,36.2%,37%,12.9%,9.4%,5.9%,32.9%
278,Hobart College Statesmen,26,4.3%,3.6,3.7,1.021,1.2,1.3,2.5,53%,56.1%,16%,17%,13.8%,50%
279,Wisconsin-(Superior) Yellowjackets,27,4.3%,3,2.6,0.864,1.1,1.1,2.2,49.2%,50.8%,16%,13.6%,12.3%,45.7%
280,Case Western Reserve Spartans,25,4.3%,3.7,2.4,0.663,1.7,0.8,2.6,32.8%,34.4%,20.7%,12%,7.6%,31.5%
281,Hartwick,25,4.3%,3.6,2.5,0.7,1.7,0.7,2.4,28.8%,31.4%,17.8%,16.7%,12.2%,35.6%
282,UC Santa Cruz Banana Slugs,25,4.3%,3.6,3,0.824,1.5,1.2,2.6,43.9%,44.7%,15.4%,13.2%,9.9%,42.9%
283,Milwaukee School of Engineering,26,4.3%,3.4,2.4,0.697,1.5,1,2.5,39.4%,40.2%,19.1%,11.2%,7.9%,34.8%
284,William Peace,27,4.3%,3.8,2.4,0.621,1.8,0.7,2.5,28.4%,28.4%,21.4%,18.4%,14.6%,32%
285,Arcadia University Knights,29,4.2%,3.5,1.8,0.505,1.7,0.6,2.3,24.2%,25.8%,21.8%,13.9%,8.9%,24.8%
286,Gordon College,28,4.2%,3.8,2.7,0.71,2,1,3,32.9%,36.5%,12.1%,8.4%,6.5%,34.6%
287,Piedmont Lions,28,4.2%,3.6,3.2,0.873,1,1.3,2.2,56.5%,56.5%,24.5%,19.6%,17.6%,45.1%
288,Suffolk Rams,17,4.2%,3.2,2.2,0.685,1.6,0.9,2.5,35.7%,36.9%,14.8%,13%,9.3%,33.3%
289,St. John Fisher Cardinals,25,4.2%,3.6,3.2,0.91,1.2,1.2,2.5,50%,54%,19.1%,13.5%,7.9%,43.8%
290,Eastern Nazarene College Lions,24,4.2%,3.5,2.5,0.726,1.4,0.9,2.3,38.9%,40.7%,22.6%,13.1%,9.5%,36.9%
291,Cairn Highlanders,26,4.2%,3.5,2.7,0.758,1.3,1.1,2.5,45.3%,46.1%,22%,12.1%,9.9%,37.4%
292,Capital,26,4.2%,3.3,2.9,0.872,1.3,1,2.3,43.3%,45.8%,16.3%,14%,8.1%,43%
293,East Texas Baptist Tigers,29,4.1%,3.9,3.7,0.946,1.5,1.3,2.8,46.3%,48.2%,11.6%,16.1%,11.6%,48.2%
294,Oberlin College Yeomen,26,4.1%,3.1,2.4,0.778,1.6,0.8,2.3,32.8%,40.2%,14.8%,9.9%,8.6%,34.6%
295,Berry College Vikings,28,4.1%,3.8,2.9,0.748,1.8,0.9,2.8,33.8%,35.7%,14%,17.8%,12.1%,37.4%
296,Ozarks (AR) Eagles,27,4.1%,3.6,2.4,0.667,1.7,0.9,2.5,33.8%,35.3%,15.6%,15.6%,10.4%,35.4%
297,Knox,17,4.1%,3.2,2.5,0.782,1.2,0.8,2.1,40%,45.7%,23.6%,12.7%,9.1%,38.2%
298,Salve Regina Seahawks,26,4.1%,3.5,3,0.848,1.6,1,2.6,38.2%,43.4%,13%,14.1%,12%,40.2%
299,Skidmore Thoroughbreds,26,4.1%,3.3,3.2,0.953,1,1.1,2.1,52.7%,56.4%,23.3%,17.4%,15.1%,46.5%
300,Huntingdon Hawks,24,4.1%,3.9,2.5,0.645,2,0.9,2.8,30.9%,32.4%,14%,14%,6.5%,33.3%
301,Castleton,4,4%,4,0.5,0.125,2.3,0,2.3,0%,0%,12.5%,31.3%,6.3%,6.3%
302,Morrisville State,16,4%,3.4,2.9,0.855,1.6,1.2,2.8,42.2%,44.4%,10.9%,10.9%,10.9%,41.8%
303,Lycoming College Warriors,26,4%,3.7,2.6,0.698,1.7,1,2.6,36.8%,39%,20.8%,10.4%,8.3%,33.3%
304,SUNY Old Westbury Panthers,10,4%,3.4,1.8,0.529,1.7,0.6,2.3,26.1%,28.3%,23.5%,8.8%,8.8%,26.5%
305,Oswego State Lakers,27,4%,3.1,2.7,0.857,1.3,1,2.3,45.2%,48.4%,16.7%,11.9%,10.7%,42.9%
306,Concordia (Moorhead) Cobbers,24,4%,3,2.7,0.903,1.5,1,2.5,39%,44.9%,8.3%,13.9%,11.1%,41.7%
307,Colby-Sawyer Chargers,3,4%,3.7,1.7,0.455,2,0.3,2.3,14.3%,14.3%,27.3%,18.2%,18.2%,18.2%
308,Westminster (PA) Titans,27,4%,3.4,2.6,0.769,1.7,1,2.8,37.3%,40%,12.1%,8.8%,7.7%,36.3%
309,Franciscan University of Steubenville Barons,26,4%,3.4,1.8,0.523,1.7,0.5,2.2,24.1%,25.9%,18.2%,18.2%,13.6%,26.1%
310,Edgewood College (WI) Eagles,28,3.9%,3.1,2.3,0.747,1.2,0.8,2,39.3%,40.2%,19.5%,19.5%,11.5%,39.1%
311,Bluffton,26,3.9%,3.1,2,0.663,1.5,0.8,2.2,34.5%,35.3%,17.5%,11.3%,8.8%,33.8%
312,Saint Joseph's (ME) Monks,24,3.9%,3.3,2.8,0.859,1,1.1,2.2,51.9%,53.8%,25.6%,10.3%,9%,42.3%
313,Colby Mules,24,3.9%,3.5,1.6,0.459,1.8,0.7,2.5,28.3%,29.2%,25.9%,3.5%,3.5%,23.5%
314,St. Norbert Green Knights,16,3.9%,2.9,2.6,0.913,0.8,1,1.8,55.2%,58.6%,23.9%,13%,10.9%,45.7%
315,Mount St. Vincent Dolphins,11,3.9%,3.4,2.7,0.811,1.5,0.8,2.3,36%,38%,16.2%,18.9%,16.2%,40.5%
316,Gallaudet University Bison,23,3.9%,3.4,2.5,0.722,1.8,0.9,2.7,32.3%,33.9%,7.6%,16.5%,15.2%,35.4%
317,Pacific University Boxers,25,3.9%,3.4,2.2,0.647,1.9,0.8,2.7,29.9%,31.3%,11.8%,10.6%,8.2%,32.9%
318,Roanoke Maroons,28,3.9%,2.9,3.2,1.085,0.8,1.1,1.9,60.4%,63.2%,22%,18.3%,13.4%,51.2%
319,New Jersey City Knights,28,3.9%,3.3,3.3,0.989,1.3,1.3,2.5,49.3%,53.5%,14.1%,13%,10.9%,45.7%
320,MacMurray College Highlanders,21,3.9%,3.5,3,0.863,1.4,1.1,2.5,45.3%,51.9%,20.5%,6.8%,5.5%,38.4%
321,Regis College (MA) Pride,26,3.8%,3.3,2.2,0.651,1.5,0.9,2.4,37.1%,37.9%,18.6%,11.6%,10.5%,34.9%
322,Marywood Pacers,26,3.8%,3.1,2.3,0.75,1.4,0.9,2.3,39%,43.2%,18.8%,8.8%,6.3%,35%
323,Caltech Beavers,25,3.8%,3.1,2.8,0.885,1.1,1,2.1,49.1%,50.9%,19.2%,16.7%,11.5%,44.9%
324,Grove City Wolverines,26,3.8%,3,2.5,0.835,1.1,0.9,2,46.2%,46.2%,19%,20.3%,16.5%,43%
325,Vassar Brewers,26,3.8%,3,2.9,0.949,1.4,1,2.4,41.3%,46%,8.9%,16.5%,13.9%,44.3%
326,DeSales,27,3.8%,3.1,2.8,0.893,1.1,1.1,2.1,50%,50.9%,15.5%,19%,15.5%,46.4%
327,Eastern Eagles,26,3.8%,3.2,3.3,1.036,1,1.2,2.2,54.4%,60.5%,16.9%,15.7%,13.3%,49.4%
328,Farmingdale State Rams,26,3.7%,3.3,2.3,0.706,1.4,0.7,2.1,33.3%,38%,22.4%,16.5%,9.4%,34.1%
329,Ripon Redhawks,25,3.7%,2.9,2.7,0.918,1.2,1,2.2,45.5%,47.3%,12.3%,17.8%,16.4%,45.2%
330,Transylvania University Pioneers,26,3.7%,3.2,3,0.928,0.9,0.9,1.8,50%,52.1%,14.5%,28.9%,20.5%,48.2%
331,Chapman University Panthers,26,3.7%,2.8,2.1,0.764,1.3,0.8,2.2,37.5%,37.5%,9.7%,15.3%,8.3%,38.9%
332,Washington & Jefferson Presidents,25,3.7%,2.8,1.8,0.648,1.2,0.6,1.8,34.8%,38%,21.1%,15.5%,15.5%,33.8%
333,New York University Violets,24,3.6%,3.1,2.2,0.716,1.4,0.8,2.1,35.3%,37.3%,18.9%,17.6%,13.5%,33.8%
334,Carroll (WI) Pioneers,25,3.6%,2.8,1.9,0.696,1.2,0.7,1.9,35.4%,36.5%,20.3%,14.5%,11.6%,34.8%
335,Moravian,26,3.6%,3.2,3,0.963,1.3,1.2,2.4,47.6%,49.2%,13.4%,15.9%,12.2%,46.3%
336,Hanover Panthers,29,3.6%,2.7,2.7,0.975,1.1,1,2.1,48.3%,50%,11.4%,17.7%,12.7%,46.8%
337,Hendrix College,30,3.6%,3.2,2.1,0.674,1.4,0.8,2.2,35.8%,37.3%,17.9%,16.8%,12.6%,33.7%
338,Lawrence,15,3.6%,2.9,2.7,0.93,1.1,0.7,1.9,39.3%,44.6%,14%,23.3%,16.3%,46.5%
339,Vaughn College Warriors,1,3.6%,3,0,0,2,0,2,0%,0%,33.3%,0%,0%,0%
340,Greenville Panthers,18,3.6%,4.7,3.6,0.753,2.3,1.2,3.6,34.4%,39.8%,12.9%,12.9%,8.2%,36.5%
341,Lynchburg Hornets,28,3.6%,3.1,1.8,0.575,1.3,0.5,1.8,28.6%,28.6%,24.1%,19.5%,16.1%,33.3%
342,Minnesota Morris Cougars,27,3.5%,3,2.7,0.913,1.2,0.6,1.8,32.7%,33.7%,13.8%,30%,21.3%,45%
343,Ramapo College RoadRunners,30,3.5%,3,1.9,0.644,1.6,0.6,2.2,27.3%,29.5%,14.4%,13.3%,7.8%,32.2%
344,SUNY Potsdam,25,3.5%,3,2,0.653,1.1,0.7,1.8,38.6%,40.9%,26.7%,18.7%,14.7%,34.7%
345,Pacific Lutheran Lutes,24,3.5%,2.9,1.9,0.643,1.2,0.7,1.9,37.8%,38.9%,24.3%,11.4%,11.4%,32.9%
346,Fitchburg State,6,3.5%,3.2,2.8,0.895,1.3,1.2,2.5,46.7%,46.7%,10.5%,10.5%,10.5%,47.4%
347,Mount St. Mary College Blue Knights,12,3.4%,2.6,2.9,1.129,1.1,1.1,2.2,50%,53.8%,6.5%,19.4%,16.1%,51.6%
348,Emory University Eagles,29,3.4%,2.9,3.1,1.06,1.1,1.2,2.3,51.5%,55.3%,11.9%,15.5%,15.5%,47.6%
349,Trinity (TX) Tigers,28,3.4%,2.9,2.6,0.914,1,0.8,1.8,43.1%,43.1%,16%,25.9%,19.8%,48.1%
350,North Central (IL) College Cardinals,28,3.4%,2.6,2.1,0.797,1.1,0.6,1.7,35.4%,37.5%,14.9%,20.3%,10.8%,41.9%
351,Mary Washington Eagles,27,3.4%,2.8,2.2,0.789,1.2,0.9,2.1,41.1%,44.6%,17.1%,9.2%,7.9%,38.2%
352,Wartburg Knights,26,3.4%,2.8,2.3,0.836,1.2,0.8,2,41.5%,49.1%,16.4%,12.3%,9.6%,38.4%
353,Greensboro College The Pride,28,3.4%,3.1,2.5,0.807,1.5,0.8,2.3,34.9%,39.7%,13.6%,15.9%,13.6%,39.8%
354,Maine Presque Isle Owls,21,3.4%,2.9,1.8,0.633,1.6,0.8,2.3,32.7%,35.7%,15%,8.3%,8.3%,28.3%
355,Baruch Bearcats,27,3.4%,2.7,3,1.081,0.9,1.1,1.9,55.8%,57.7%,14.9%,20.3%,17.6%,54.1%
356,Denison (OH) Big Red,27,3.4%,2.7,1.9,0.699,1,0.7,1.7,40.4%,41.5%,17.8%,19.2%,17.8%,38.4%
357,Hood,25,3.4%,3.1,2.3,0.744,1.1,0.6,1.8,36.4%,37.5%,21.8%,24.4%,19.2%,41%
358,Lancaster Bible Chargers,28,3.3%,3,1.9,0.651,1.1,0.8,1.9,39.6%,41.5%,21.7%,16.9%,8.4%,34.9%
359,Maine Farmington,7,3.3%,2.9,2.3,0.8,1.4,0.9,2.3,37.5%,43.8%,5%,15%,10%,40%
360,Alfred Saxons,26,3.3%,2.8,2.9,1.041,1,1,2,49%,54.9%,13.7%,20.5%,17.8%,49.3%
361,Averett University Cougars,26,3.3%,3,2.4,0.797,1.4,1,2.4,40.3%,41.1%,10.1%,12.7%,10.1%,41.8%
362,Augustana (IL) Vikings,31,3.3%,2.7,2.2,0.821,0.9,0.9,1.7,50%,52.8%,26.2%,9.5%,3.6%,40.5%
363,Johns Hopkins Blue Jays,29,3.3%,2.6,2.2,0.878,0.9,0.9,1.8,49.1%,50%,18.9%,12.2%,8.1%,43.2%
364,Misericordia,25,3.3%,2.7,2.7,0.985,1,1,2,48%,51%,14.7%,22.1%,20.6%,44.1%
365,Millikin Big Blue,24,3.3%,2.6,2.3,0.887,1.1,1,2.1,48%,50%,11.3%,9.7%,6.5%,43.5%
366,Texas-(Dallas) Comets,26,3.3%,2.8,2.3,0.811,1.2,0.8,2,39.2%,41.2%,13.5%,21.6%,16.2%,41.9%
367,Schreiner Mountaineers,30,3.2%,2.8,2.2,0.798,1.2,0.7,1.9,36.8%,39.5%,17.9%,17.9%,11.9%,38.1%
368,Illinois College Blue Boys,22,3.2%,2.5,2,0.786,1.3,0.7,2,36.4%,39.8%,8.9%,16.1%,12.5%,37.5%
369,Kalamazoo College Hornets,25,3.2%,2.6,1.5,0.578,0.8,0.6,1.5,43.2%,45.9%,31.3%,12.5%,7.8%,29.7%
370,Catholic University Cardinals,25,3.2%,2.6,2.2,0.859,1,0.8,1.8,45.5%,45.5%,15.6%,18.8%,15.6%,45.3%
371,Coe College Kohawks,26,3.2%,2.4,1.5,0.619,1.2,0.4,1.7,25.6%,25.6%,12.7%,20.6%,14.3%,34.9%
372,Rhodes College Lynx,26,3.1%,3.5,3.2,0.933,1,1.2,2.2,53.4%,56%,22.2%,15.6%,13.3%,45.6%
373,St. Lawrence Saints,25,3.1%,2.6,1.9,0.723,1.2,0.7,1.9,36.2%,38.3%,18.5%,10.8%,7.7%,35.4%
374,Elmhurst College Blue Jays,25,3.1%,2.6,2,0.797,1.3,0.7,2,35.3%,37.3%,7.8%,12.5%,9.4%,40.6%
375,Medaille Mavericks,30,3.1%,2.7,1.9,0.725,1.2,0.6,1.9,33.9%,35.7%,16.3%,15%,11.3%,37.5%
376,Eastern Connecticut State University Warriors,18,3.1%,2.6,2.2,0.848,0.9,0.7,1.6,44.8%,50%,15.2%,23.9%,15.2%,41.3%
377,PennState-Behrend,29,3.1%,2.2,1.9,0.875,0.9,0.7,1.6,45.7%,46.7%,14.1%,15.6%,10.9%,43.8%
378,Wesleyan (CT),28,3.1%,2.6,1.3,0.5,1.5,0.6,2,28.1%,29.8%,21.6%,5.4%,5.4%,23%
379,Covenant College Scots,28,3.1%,2.8,2,0.731,1.1,0.6,1.8,36.7%,38.8%,23.1%,15.4%,11.5%,37.2%
380,Widener,27,3.1%,2.6,2.1,0.812,1,0.6,1.6,39.5%,40.7%,17.4%,20.3%,14.5%,43.5%
381,PennState-Harrisburg,25,3%,2.6,2,0.758,1.4,0.7,2.1,34.6%,35.6%,7.6%,15.2%,13.6%,37.9%
382,St. Scholastica Saints,26,3%,2.5,2.5,1,0.9,1,1.9,54%,54%,14.1%,14.1%,12.5%,50%
383,Stevens (NJ) Ducks,26,3%,2.7,2,0.729,1,0.7,1.8,41.3%,42.4%,22.9%,18.6%,12.9%,34.3%
384,Cornell College Rams,14,3%,2.4,1.9,0.765,1.1,0.5,1.6,31.8%,34.1%,20.6%,17.6%,14.7%,35.3%
385,Loras Duhawks,26,3%,2.7,2,0.739,1.3,0.7,2,35.3%,40.2%,14.5%,14.5%,10.1%,34.8%
386,Wilkes,27,2.9%,2.4,2,0.815,0.8,0.6,1.4,44.7%,47.4%,24.6%,18.5%,16.9%,40%
387,Sewanee Tigers,25,2.9%,2.4,2.7,1.136,0.7,1.2,1.8,63%,65.2%,18.6%,11.9%,11.9%,52.5%
388,Montclair State,25,2.9%,2.6,1.8,0.688,1.2,0.6,1.7,32.6%,34.9%,20.3%,14.1%,12.5%,32.8%
389,St. Olaf Oles,28,2.9%,2.1,2,0.917,1,0.6,1.6,40%,44.4%,11.7%,20%,16.7%,43.3%
390,SUNY Delhi Broncos,12,2.9%,2.6,1.8,0.71,1.1,0.8,1.8,40.9%,45.5%,25.8%,9.7%,9.7%,32.3%
